,id,name,height,weight,evolves-from,hp,attack,defense,special-attack,special-defense,speed,base-stat-total,primary-type,secondary-type
0,1,Bulbasaur,7,69,,45,49,49,65,65,45,318,grass,poison
1,2,Ivysaur,10,130,Bulbasaur,60,62,63,80,80,60,405,grass,poison
2,3,Venusaur,20,1000,Ivysaur,80,82,83,100,100,80,525,grass,poison
3,4,Charmander,6,85,,39,52,43,60,50,65,309,fire,
4,5,Charmeleon,11,190,Charmander,58,64,58,80,65,80,405,fire,
5,6,Charizard,17,905,Charmeleon,78,84,78,109,85,100,534,fire,flying
6,7,Squirtle,5,90,,44,48,65,50,64,43,314,water,
7,8,Wartortle,10,225,Squirtle,59,63,80,65,80,58,405,water,
8,9,Blastoise,16,855,Wartortle,79,83,100,85,105,78,530,water,
9,10,Caterpie,3,29,,45,30,35,20,20,45,195,bug,
10,11,Metapod,7,99,Caterpie,50,20,55,25,25,30,205,bug,
11,12,Butterfree,11,320,Metapod,60,45,50,90,80,70,395,bug,flying
12,13,Weedle,3,32,,40,35,30,20,20,50,195,bug,poison
13,14,Kakuna,6,100,Weedle,45,25,50,25,25,35,205,bug,poison
14,15,Beedrill,10,295,Kakuna,65,90,40,45,80,75,395,bug,poison
15,16,Pidgey,3,18,,40,45,40,35,35,56,251,normal,flying
16,17,Pidgeotto,11,300,Pidgey,63,60,55,50,50,71,349,normal,flying
17,18,Pidgeot,15,395,Pidgeotto,83,80,75,70,70,101,479,normal,flying
18,19,Rattata,3,35,,30,56,35,25,35,72,253,normal,
19,20,Raticate,7,185,Rattata,55,81,60,50,70,97,413,normal,
20,21,Spearow,3,20,,40,60,30,31,31,70,262,normal,flying
21,22,Fearow,12,380,Spearow,65,90,65,61,61,100,442,normal,flying
22,23,Ekans,20,69,,35,60,44,40,54,55,288,poison,
23,24,Arbok,35,650,Ekans,60,95,69,65,79,80,448,poison,
24,25,Pikachu,4,60,Pichu,35,55,40,50,50,90,320,electric,
25,26,Raichu,8,300,Pikachu,60,90,55,90,80,110,485,electric,
26,27,Sandshrew,6,120,,50,75,85,20,30,40,300,ground,
27,28,Sandslash,10,295,Sandshrew,75,100,110,45,55,65,450,ground,
28,29,Nidoran-F,4,70,,55,47,52,40,40,41,275,poison,
29,30,Nidorina,8,200,Nidoran-F,70,62,67,55,55,56,365,poison,
30,31,Nidoqueen,13,600,Nidorina,90,92,87,75,85,76,505,poison,ground
31,32,Nidoran-M,5,90,,46,57,40,40,40,50,273,poison,
32,33,Nidorino,9,195,Nidoran-M,61,72,57,55,55,65,365,poison,
33,34,Nidoking,14,620,Nidorino,81,102,77,85,75,85,505,poison,ground
34,35,Clefairy,6,75,Cleffa,70,45,48,60,65,35,323,fairy,
35,36,Clefable,13,400,Clefairy,95,70,73,95,90,60,483,fairy,
36,37,Vulpix,6,99,,38,41,40,50,65,65,299,fire,
37,38,Ninetales,11,199,Vulpix,73,76,75,81,100,100,505,fire,
38,39,Jigglypuff,5,55,Igglybuff,115,45,20,45,25,20,270,normal,fairy
39,40,Wigglytuff,10,120,Jigglypuff,140,70,45,85,50,45,435,normal,fairy
40,41,Zubat,8,75,,40,45,35,30,40,55,245,poison,flying
41,42,Golbat,16,550,Zubat,75,80,70,65,75,90,455,poison,flying
42,43,Oddish,5,54,,45,50,55,75,65,30,320,grass,poison
43,44,Gloom,8,86,Oddish,60,65,70,85,75,40,395,grass,poison
44,45,Vileplume,12,186,Gloom,75,80,85,110,90,50,490,grass,poison
45,46,Paras,3,54,,35,70,55,45,55,25,285,bug,grass
