name,evolves-from
ivysaur,bulbasaur
venusaur,ivysaur
charmeleon,charmander
charizard,charmeleon
wartortle,squirtle
blastoise,wartortle
metapod,caterpie
butterfree,metapod
kakuna,weedle
beedrill,kakuna
pidgeotto,pidgey
pidgeot,pidgeotto
raticate,rattata
fearow,spearow
arbok,ekans
pikachu,pichu
raichu,pikachu
sandslash,sandshrew
nidorina,nidoran-f
nidoqueen,nidorina
nidorino,nidoran-m
nidoking,nidorino
clefairy,cleffa
clefable,clefairy
ninetales,vulpix
jigglypuff,igglybuff
wigglytuff,jigglypuff
golbat,zubat
crobat,golbat
gloom,oddish
vileplume,gloom
bellossom,gloom
parasect,paras
venomoth,venonat
dugtrio,diglett
persian,meowth
perrserker,meowth
golduck,psyduck
primeape,mankey
annihilape,primeape
arcanine,growlithe
poliwhirl,poliwag
poliwrath,poliwhirl
politoed,poliwhirl
kadabra,abra
alakazam,kadabra
machoke,machop
machamp,machoke
weepinbell,bellsprout
victreebel,weepinbell
tentacruel,tentacool
graveler,geodude
golem,graveler
rapidash,ponyta
slowbro,slowpoke
slowking,slowpoke
magneton,magnemite
magnezone,magneton
sirfetchd,farfetchd
dodrio,doduo
dewgong,seel
muk,grimer
cloyster,shellder
haunter,gastly
gengar,haunter
steelix,onix
hypno,drowzee
kingler,krabby
electrode,voltorb
exeggutor,exeggcute
marowak,cubone
hitmonlee,tyrogue
hitmonchan,tyrogue
hitmontop,tyrogue
lickilicky,lickitung
weezing,koffing
rhydon,rhyhorn
rhyperior,rhydon
chansey,happiny
blissey,chansey
tangrowth,tangela
kangaskhan,
seadra,horsea
kingdra,seadra
seaking,goldeen
starmie,staryu
mr-mime,mime-jr
mr-rime,mr-mime
scizor,scyther
kleavor,scyther
jynx,smoochum
electabuzz,elekid
electivire,electabuzz
magmar,magby
magmortar,magmar
pinsir,
tauros,
gyarados,magikarp
lapras,
ditto,
vaporeon,eevee
jolteon,eevee
flareon,eevee
espeon,eevee
umbreon,eevee
leafeon,eevee
glaceon,eevee
sylveon,eevee
porygon2,porygon
porygon-z,porygon2
omastar,omanyte
kabutops,kabuto
aerodactyl,
snorlax,munchlax
articuno,
zapdos,
moltres,
dragonair,dratini
dragonite,dragonair
mewtwo,
mew,
bayleef,chikorita
meganium,bayleef
quilava,cyndaquil
typhlosion,quilava
croconaw,totodile
feraligatr,croconaw
furret,sentret
noctowl,hoothoot
ledian,ledyba
ariados,spinarak
lanturn,chinchou
togetic,togepi
togekiss,togetic
xatu,natu
flaaffy,mareep
ampharos,flaaffy
marill,azurill
azumarill,marill
sudowoodo,bonsly
skiploom,hoppip
